player_name,team,opponent,location,gamedate,seconds_played,field_goals_made,field_goals_attempted,three_pointers_made,three_pointers_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Jeff Teague,atl,tor,home,2013-11-01,2177,4,13,1,4,8,9,0,0,12,1,0,1,1,17
Al Horford,atl,tor,home,2013-11-01,2113,9,14,0,0,4,8,3,13,1,0,1,2,2,22
Kyle Korver,atl,tor,home,2013-11-01,2077,6,12,5,8,0,0,0,4,3,3,0,3,2,17
DeMarre Carroll,atl,tor,home,2013-11-01,2007,1,7,1,5,5,5,1,2,3,3,0,0,1,8
Paul Millsap,atl,tor,home,2013-11-01,1865,7,12,0,0,1,5,1,4,2,0,0,2,2,15
Cartier Martin,atl,tor,home,2013-11-01,1422,2,4,2,3,2,4,0,2,0,0,1,1,1,8
Dennis Schroeder,atl,tor,home,2013-11-01,957,2,5,0,0,0,0,0,0,1,0,0,2,0,4
Pero Antic,atl,tor,home,2013-11-01,695,2,4,1,2,0,0,0,1,1,0,0,2,1,5
Mike Scott,atl,tor,home,2013-11-01,657,2,4,0,1,0,0,1,1,1,0,0,0,0,4
Elton Brand,atl,tor,home,2013-11-01,430,1,2,0,0,0,0,1,3,0,0,1,0,2,2
Paul Millsap,atl,dal,away,2013-10-30,2145,9,15,0,2,2,4,2,3,3,1,1,2,4,20
Kyle Korver,atl,dal,away,2013-10-30,2142,3,9,1,4,1,1,0,5,3,2,0,0,1,8
DeMarre Carroll,atl,dal,away,2013-10-30,2070,3,7,2,4,6,8,1,6,1,3,0,2,1,14
Jeff Teague,atl,dal,away,2013-10-30,2059,7,13,1,4,9,12,0,2,9,4,0,6,3,24
Al Horford,atl,dal,away,2013-10-30,1919,5,12,0,0,1,2,1,4,3,5,4,3,1,11
Dennis Schroeder,atl,dal,away,2013-10-30,1109,2,5,1,2,0,0,0,4,5,0,0,2,3,5
Cartier Martin,atl,dal,away,2013-10-30,1005,4,8,3,7,6,6,1,1,1,1,0,0,3,17
Elton Brand,atl,dal,away,2013-10-30,784,4,5,0,0,0,0,0,0,0,0,0,0,0,8
Pero Antic,atl,dal,away,2013-10-30,470,0,1,0,1,0,0,0,2,0,0,0,0,0,0
Mike Scott,atl,dal,away,2013-10-30,442,0,1,0,0,0,0,0,1,0,0,0,2,4,0
Shelvin Mack,atl,dal,away,2013-10-30,255,0,0,0,0,2,2,0,0,2,0,0,0,0,2
Kyle Korver,atl,lal,away,2013-11-03,2239,8,10,6,6,0,0,0,2,4,2,1,0,3,22
Al Horford,atl,lal,away,2013-11-03,2017,5,12,0,0,2,4,3,13,2,2,1,4,4,12
Jeff Teague,atl,lal,away,2013-11-03,1960,7,18,0,3,0,0,1,5,4,2,0,2,1,14
Paul Millsap,atl,lal,away,2013-11-03,1733,4,9,0,0,6,10,3,4,4,1,1,1,4,14
DeMarre Carroll,atl,lal,away,2013-11-03,1118,2,5,0,3,1,2,0,3,3,0,0,1,4,5
Cartier Martin,atl,lal,away,2013-11-03,1669,3,7,3,6,0,0,0,4,3,0,0,1,4,9
Mike Scott,atl,lal,away,2013-11-03,1296,5,13,0,1,3,4,1,4,1,1,0,1,1,13
Dennis Schroeder,atl,lal,away,2013-11-03,1294,4,11,0,2,2,4,0,3,4,0,0,1,1,10
Pero Antic,atl,lal,away,2013-11-03,460,1,3,0,1,0,0,1,3,0,1,0,0,0,2
John Jenkins,atl,lal,away,2013-11-03,354,1,2,0,0,0,0,0,1,0,0,0,0,0,2
Elton Brand,atl,lal,away,2013-11-03,260,0,0,0,0,0,2,1,0,1,0,0,0,0,0
Jeff Green,bos,mil,home,2013-11-01,2290,4,13,1,3,4,7,4,5,1,0,0,4,3,13
Vitor Faverani,bos,mil,home,2013-11-01,2227,4,6,0,1,4,6,6,12,1,1,6,3,4,12
Gerald Wallace,bos,mil,home,2013-11-01,2161,5,9,2,5,2,7,0,6,4,1,0,4,2,14
Brandon Bass,bos,mil,home,2013-11-01,2080,6,11,0,0,5,6,3,6,2,0,1,0,3,17
Avery Bradley,bos,mil,home,2013-11-01,1955,4,14,0,3,0,0,0,2,2,1,0,4,6,8
Courtney Lee,bos,mil,home,2013-11-01,1542,6,11,1,3,0,0,0,3,1,2,0,0,3,13
Kelly Olynyk,bos,mil,home,2013-11-01,830,2,5,0,1,0,0,2,0,1,0,0,1,4,4
Jordan Crawford,bos,mil,home,2013-11-01,692,1,1,0,0,5,5,0,0,1,0,0,0,0,7
Jared Sullinger,bos,mil,home,2013-11-01,623,2,6,0,0,6,7,3,0,0,0,0,1,4,10
Gerald Wallace,bos,tor,away,2013-10-30,2392,1,1,0,0,1,4,0,3,2,4,0,5,2,3
Jeff Green,bos,tor,away,2013-10-30,2223,8,16,2,3,7,9,0,5,2,1,1,1,4,25
Brandon Bass,bos,tor,away,2013-10-30,1933,6,7,0,0,5,5,1,1,2,2,0,1,2,17
Avery Bradley,bos,tor,away,2013-10-30,1879,4,13,0,3,0,0,1,4,4,2,1,4,6,8
Vitor Faverani,bos,tor,away,2013-10-30,1601,4,9,0,1,5,8,1,2,0,0,3,3,5,13
Kris Humphries,bos,tor,away,2013-10-30,1248,3,4,0,0,2,3,2,7,0,0,2,2,2,8
Jordan Crawford,bos,tor,away,2013-10-30,1058,3,5,1,1,0,0,2,1,5,0,0,1,2,7
Kelly Olynyk,bos,tor,away,2013-10-30,978,2,5,0,2,0,0,0,0,0,0,0,3,2,4
Courtney Lee,bos,tor,away,2013-10-30,868,1,4,0,2,0,0,0,2,0,1,0,2,0,2
Phil Pressey,bos,tor,away,2013-10-30,220,0,2,0,1,0,0,0,1,0,0,0,0,2,0
Brandon Bass,bos,det,away,2013-11-03,2246,2,8,0,0,2,2,1,7,3,2,1,2,5,6
Gerald Wallace,bos,det,away,2013-11-03,2188,2,6,1,3,0,0,0,1,2,4,0,2,2,5
